user_id,month,duration,costo_extra_llamadas,mb_used,costo_extra_datos,sms_count,costo_extra_sms,usd_monthly_pay,age,costo_total
1000,12,116.83,0.0,1901.47,0.0,11.0,0.0,70,45,70.0
1001,8,171.14,0.0,6919.15,0.0,30.0,0.0,20,28,20.0
1001,9,297.69,0.0,13314.82,0.0,44.0,0.0,20,28,20.0
1001,10,374.11,0.0,22330.49,68.07119140625002,53.0,0.09,20,28,88.16119140625003
1001,11,374.02,0.0,18504.3,30.706054687499993,36.0,0.0,20,28,50.70605468749999
1001,12,339.2,0.0,19369.18,39.1521484375,44.0,0.0,20,28,59.1521484375
1002,10,53.8,0.0,6552.01,0.0,15.0,0.0,20,36,20.0
1002,11,359.59,0.0,19345.08,38.91679687500002,32.0,0.0,20,36,58.91679687500002
1002,12,337.02,0.0,14396.24,0.0,41.0,0.0,20,36,20.0
1003,12,989.84,14.6952,24600.829999999998,90.24248046874999,50.0,0.0,20,52,124.93768046874999
1004,5,158.21,0.0,6547.21,0.0,7.0,0.0,20,40,20.0
1004,6,261.32,0.0,20672.82,51.8830078125,18.0,0.0,20,40,71.8830078125
1004,7,332.63,0.0,24516.62,89.42011718749998,26.0,0.0,20,40,109.42011718749998
1004,8,310.61,0.0,27981.739999999998,123.25917968749998,25.0,0.0,20,40,143.25917968749997
1004,9,284.55,0.0,18852.72,34.10859375000001,21.0,0.0,20,40,54.10859375000001
1004,10,341.51,0.0,14541.63,0.0,24.0,0.0,20,40,20.0
1004,11,428.87,0.0,21850.78,63.38652343749999,25.0,0.0,20,40,83.38652343749999
1004,12,351.94,0.0,21389.29,58.87978515625001,31.0,0.0,20,40,78.87978515625001
1005,12,446.6,0.0,17140.17,17.384472656249983,11.0,0.0,20,31,37.38447265624998
1006,11,9.32,0.0,2068.37,0.0,15.0,0.0,70,73,70.0
1006,12,54.79,0.0,29559.08,0.0,139.0,0.0,70,73,70.0
1007,8,427.75,0.0,22051.53,65.34697265624999,51.0,0.03,20,42,85.37697265624999
1007,9,375.45,0.0,28123.95,124.64794921875,47.0,0.0,20,42,144.64794921875
1007,10,587.01,2.6102999999999996,36637.41,207.78720703125003,59.0,0.27,20,42,230.66750703125004
1007,11,488.96999999999997,0.0,24334.0,87.63671875,48.0,0.0,20,42,107.63671875
1007,12,579.28,2.378399999999999,27786.45,121.35205078125,50.0,0.0,20,42,143.73045078125
1008,10,426.21,0.0,17106.989999999998,0.0,21.0,0.0,70,53,70.0
1008,11,370.49,0.0,23676.72,0.0,37.0,0.0,70,53,70.0
1008,12,553.3,0.0,14689.33,0.0,26.0,0.0,70,53,70.0
1009,5,498.69,0.0,18852.91,34.11044921875,0.0,0.0,20,19,54.11044921875
1009,6,750.53,7.5158999999999985,17614.34,22.0150390625,0.0,0.0,20,19,49.530939062499996
1009,7,802.12,9.0636,30421.65,147.08642578125,0.0,0.0,20,19,176.15002578125
1009,8,679.89,5.396699999999999,24557.52,89.81953125000001,0.0,0.0,20,19,115.21623125
1009,9,730.31,6.909299999999998,20962.4,54.710937500000014,0.0,0.0,20,19,81.62023750000002
1009,10,694.7,5.841000000000001,22664.84,71.336328125,0.0,0.0,20,19,97.177328125
1009,11,641.12,4.2336,25473.43,98.76396484375,0.0,0.0,20,19,122.99756484375
1009,12,636.03,4.080899999999999,21438.7,59.36230468750001,0.0,0.0,20,19,83.44320468750001
